name,path,sourceUrl,imageUrl,provider
朴灿烈,assets/people/朴灿烈.jpg,https://zh.wikipedia.org/wiki/%E7%87%A6%E7%83%88,https://upload.wikimedia.org/wikipedia/commons/e/e2/Chanyeol_during_the_Exo_Planet_5_%E2%80%93_Exploration_concert_on_December_2019_%282%29.jpg,ZH Wikipedia
蒲熠星,assets/people/蒲熠星.jpg,https://baike.baidu.com/view/12243192.htm,"https://bkimg.cdn.bcebos.com/pic/a5c27d1ed21b0ef41bd56cb1279446da81cb38db9099?x-bce-process=image/format,f_auto",KCrush
朴智旻,assets/people/朴智旻.jpg,https://zh.wikipedia.org/wiki/Jimin,https://upload.wikimedia.org/wikipedia/commons/3/33/Jimin_on_the_way_to_SBS_Radio%2C_31_March_2023_%282%29.jpg,ZH Wikipedia
钱锟,assets/people/钱锟.jpg,https://baike.baidu.com/item/%E9%92%B1%E9%94%9F,"https://bkimg.cdn.bcebos.com/pic/91529822720e0cf3d7ca1103b710e51fbe096a637cb6?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
钱正昊,assets/people/钱正昊.jpg,https://baike.baidu.com/item/%E9%92%B1%E6%AD%A3%E6%98%8A,"https://bkimg.cdn.bcebos.com/pic/6159252dd42a2834825c933356b5c9ea15cebf14?x-bce-process=image/format,f_auto",KCrush
秦霄贤,assets/people/秦霄贤.jpg,https://baike.baidu.com/item/%E7%A7%A6%E9%9C%84%E8%B4%A4,"https://bkimg.cdn.bcebos.com/pic/4610b912c8fcc3cec3fd8e20ad1dc188d43f87948ad2?x-bce-process=image/format,f_auto",KCrush
任豪,assets/people/任豪.jpg,https://baike.baidu.com/item/%E4%BB%BB%E8%B1%AA,"https://bkimg.cdn.bcebos.com/pic/6a63f6246b600c3387445c546314460fd9f9d62a0bac?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
任嘉伦,assets/people/任嘉伦.jpg,https://zh.wikipedia.org/wiki/%E4%BB%BB%E5%98%89%E5%80%AB,https://upload.wikimedia.org/wikipedia/commons/b/b8/%E4%BB%BB%E5%98%89%E5%80%AB_%E6%94%9D%E6%96%BC210711_%E6%AD%90%E7%B1%B3%E8%8C%84%E6%B4%BB%E5%8B%95_in_Nanjing.jpg,ZH Wikipedia
尚九熙,assets/people/尚九熙.jpg,https://baike.baidu.com/item/%E5%B0%9A%E4%B9%9D%E7%86%99,"https://bkimg.cdn.bcebos.com/pic/9213b07eca8065380cd7c6496f84b644ad345982246d?x-bce-process=image/format,f_auto",KCrush
盛一伦,assets/people/盛一伦.jpg,https://zh.wikipedia.org/wiki/%E7%9B%9B%E4%B8%80%E4%BC%A6,https://upload.wikimedia.org/wikipedia/commons/f/f7/2016.3.28%E3%80%8A%E9%9D%9E%E5%87%A1%E6%90%AD%E6%A1%A3%E3%80%8B%E5%B9%BF%E5%B7%9E%E7%AB%99%E5%BD%95%E5%88%B6_%EF%BC%885%EF%BC%89.jpg,ZH Wikipedia
